Wiki-Votes
Largest Clique Size: 17
Total Number of Maximal Cliques: 450347
Distribution of Different Size Cliques:
Size 3: 13718 cliques
Size 4: 27292 cliques
Size 5: 48416 cliques
Size 6: 68872 cliques
Size 7: 83266 cliques
Size 8: 76732 cliques
Size 9: 54456 cliques
Size 10: 35470 cliques
Size 11: 21736 cliques
Size 12: 11640 cliques
Size 13: 5449 cliques
Size 14: 2329 cliques
Size 15: 740 cliques
Size 16: 208 cliques
Size 17: 23 cliques

Email-Enron
Largest Clique Size: 20
Total Number of Maximal Cliques: 212789
Distribution of Different Size Cliques:
Size 3: 7077 cliques
Size 4: 13319 cliques
Size 5: 18143 cliques
Size 6: 22715 cliques
Size 7: 25896 cliques
Size 8: 24766 cliques
Size 9: 22884 cliques
Size 10: 21393 cliques
Size 11: 17833 cliques
Size 12: 15181 cliques
Size 13: 11487 cliques
Size 14: 7417 cliques
Size 15: 3157 cliques
Size 16: 1178 cliques
Size 17: 286 cliques
Size 18: 41 cliques
Size 19: 10 cliques
Size 20: 6 cliques
Size 19: 10 cliques
Size 20: 6 cliques

As-Skitter
Largest Clique Size: 67
Total Number of Maximal Cliques: 35002548
Distribution of Different Size Cliques:
Size 2: 4 cliques
Size 3: 3171609 cliques
Size 4: 1823317 cliques
Size 5: 939336 cliques
Size 6: 684873 cliques
Size 7: 598284 cliques
Size 8: 588889 cliques
Size 9: 608937 cliques
Size 10: 665661 cliques
Size 11: 728098 cliques
Size 12: 798073 cliques
Size 13: 877282 cliques
Size 14: 945194 cliques
Size 15: 980831 cliques
Size 16: 939987 cliques
Size 17: 839330 cliques
Size 18: 729601 cliques
Size 19: 639413 cliques
Size 20: 600192 cliques
Size 21: 611976 cliques
Size 22: 640890 cliques
Size 23: 673924 cliques
Size 24: 706753 cliques
Size 25: 753633 cliques
Size 26: 818353 cliques
Size 27: 892719 cliques
Size 28: 955212 cliques
Size 29: 999860 cliques
Size 30: 1034106 cliques
Size 31: 1055653 cliques
Size 32: 1017560 cliques
Size 33: 946717 cliques
Size 34: 878552 cliques
Size 35: 809485 cliques
Size 36: 744634 cliques
Size 37: 663650 cliques
Size 38: 583922 cliques
Size 39: 520239 cliques
Size 40: 474301 cliques
Size 41: 420796 cliques
Size 42: 367879 cliques
Size 43: 321829 cliques
Size 44: 275995 cliques
Size 45: 222461 cliques
Size 46: 158352 cliques
Size 47: 99522 cliques
Size 48: 62437 cliques
Size 49: 39822 cliques
Size 50: 30011 cliques
Size 51: 25637 cliques
Size 52: 17707 cliques
Size 53: 9514 cliques
Size 54: 3737 cliques
Size 55: 2042 cliques
Size 56: 1080 cliques
Size 57: 546 cliques
Size 58: 449 cliques
Size 59: 447 cliques
Size 60: 405 cliques
Size 61: 283 cliques
Size 62: 242 cliques
Size 63: 146 cliques
Size 64: 84 cliques
Size 65: 49 cliques
Size 66: 22 cliques
Size 67: 4 cliques
